year,T_anomaly
1880,-0.15032858469887675
1881,-0.20473552102620937
1882,-0.11704932800811257
1883,-0.020424287086470178
1884,-0.18705170110869723
1885,-0.1779591502403726
1886,0.01246673609619367
1887,-0.0596201634483455
1888,-0.1742201658662225
1889,-0.06392581382322172
1890,-0.15543267837215533
1891,-0.1465729753570257
1892,-0.06671286375248751
1893,-0.27314620628396163
1894,-0.24521905597857604
1895,-0.11986511656046092
1896,-0.15582856657889693
1897,-0.01402981219501808
1898,-0.12716604391575748
1899,-0.16850309740625644
1900,0.12838305871033723
1901,-0.03166853913956269
1902,0.006752820468792356
1903,-0.1333839095304366
1904,-0.03625645427070011
1905,0.038364986243713865
1906,-0.07873572137859394
1907,0.08302434728911265
1908,-0.005518414446425993
1909,0.03446698865703592
1910,0.012556611504333001
1911,0.26704600026907555
1912,0.08955936843529749
1913,-0.005771092895590066
1914,0.19134540030122799
1915,-0.003902546815284069
1916,0.1481590867732028
1917,-0.05960337602434121
1918,0.01263594056470238
1919,0.1742315781323669
1920,0.23748302163590468
1921,0.18986410084626973
1922,0.17025335357935772
1923,0.160798721350162
1924,0.05214780096325722
1925,0.13710648825143817
1926,0.1721179410858394
1927,0.3329849498946188
1928,0.2707254653204825
1929,0.06915052991827203
1930,0.286953851484934
1931,0.22512813559473197
1932,0.2050350726966768
1933,0.3429858107022686
1934,0.394009043158686
1935,0.39312801191161983
1936,0.22516915676864518
1937,0.28726058059669674
1938,0.3603990704130836
1939,0.4339181490758723
1940,0.2975371216700164
1941,0.3359795568790728
1942,0.25300286623576074
1943,0.25310661031920567
1944,0.4630707640576016
1945,0.5265330937661731
1946,0.3927989878419666
1947,0.5094441988801114
1948,0.45434542068658157
1949,0.3627607518122148
1950,0.47250319691447773
1951,0.5992582021011423
1952,0.4509628506344594
1953,0.6201007292177643
1954,0.21075276231829826
1955,0.5640084322557042
1956,0.49961379773290804
1957,0.4700992649534132
1958,0.5182669867444593
1959,0.3194249267217288
1960,0.5053055384889762
1961,0.572074893514811
1962,0.6932439499286971
1963,0.5027184327180897
1964,0.4827870033470447
1965,0.5225515683688191
1966,0.6733583935883892
1967,0.6237842018750592
1968,0.547023979623296
1969,0.6604176524022447
1970,0.6278895731166222
1971,0.7241372263260162
1972,0.566158326975901
1973,0.6126883307947687
1974,0.6153346392322387
1975,0.5172848688231517
1976,0.7023393004337303
1977,0.7079237090361706
1978,0.691420436573337
1979,0.6765412866624853
1980,0.5675538348858675
1981,0.6761172859052821
1982,0.6930012756200503
1983,0.6561359094414745
1984,0.7293259742879444
1985,0.7949505402269083
1986,0.9522549537574168
1987,0.7901850540104566
1988,0.8075732208904581
1989,0.7834644993324741
1990,0.6081228784700958
1991,0.8064395215459874
1992,0.8242048391759208
1993,1.0735969385212558
1994,0.8171275398855242
1995,0.8756092796879067
1996,0.8510742775749301
1997,0.7467685598744103
1998,0.9870095541787749
1999,0.9570114850868593
2000,0.9700122856133956
2001,0.809061254520526
2002,1.0493703401845191
2003,0.7779967119025901
2004,0.9859584366527543
2005,1.1554091989446342
2006,0.8464009129414767
2007,0.8979156815851774
2008,0.9736015001451277
2009,0.9223797073156528
2010,0.8267518387115684
2011,0.9977653883896936
2012,0.8937696286273895
2013,1.0564501521544272
2014,0.9262393947584378
2015,1.1822661677744812
2016,0.9580383071300127
2017,1.0132483938339778
2018,1.1358971762824215
2019,0.9405499319929682
2020,1.0954732661876856
2021,1.2125324572464247
2022,0.930160767452968
2023,1.1184633858532305
